"a","b","c","alpha","beta","gamma","N","A","Ln","Q","AQ","nQ","This.work","A_vol","Cu_vol","Ln_vol","This.work.1","Alkali.Radius","Ln.radius","Cu.Radius","Chalcogenide.radius","Edge.1","Edge.2","Edge.3","Edge.4","Edge.5","Avg.edge","A.Se..bond.1","A.Se..bond.2","A.Se.bond.3","A.Se.bond.4","A.Se.bond.5","avg.pentagon.bond.length","Angle.1..Ln","Angle.4..Cu","Angle.2..Ln2","QTF","CM","Volume"
4.24693,14.75818,14.65428,90,90,90,1,"Cs","Nd","Se","CsSe","1Se",FALSE,83.1137,7.81,34.0225,FALSE,1.74,0.983,0.6,1.98,4.3893,4.3893,4.4323,4.1184,4.4323,4.35232,3.9876,3.4587,3.9876,3.5538,3.5538,3.7083,95.545,112.35,,0.102956989,0.4572,918.5
4.20663,14.61019,14.51649,90,90,90,1,"Cs","Sm","Se","CsSe","1Se",FALSE,80.9617,7.6508,32.9164,FALSE,1.74,0.958,0.6,1.98,4.3469,4.3469,4.3838,4.1108,4.3838,4.31444,3.9526,3.428,3.9526,3.525,3.525,3.67664,95.559,112.8,,0.096236559,0.457,892.2
4.12838,14.3313,14.1203,90,90,90,1,"Cs","Pr","S","CsS","1S",FALSE,77.085,6.8852,30.5782,FALSE,1.74,0.99,0.6,1.84,4.2575,4.2575,4.3211,3.989,4.3211,4.22924,3.8341,3.384,3.8341,3.4843,3.4843,3.60416,96.01,114.67,,0.108938547,0.4579,835.4
4.09968,14.2523,14.0913,90,90,90,1,"Cs","Nd","S","CsS","1S",FALSE,76.062,6.8,30.0918,FALSE,1.74,0.983,0.6,1.84,4.2423,4.2423,4.298,3.99,4.298,4.21412,3.8265,3.367,3.8265,3.468,3.468,3.5912,96.15,114.97,,0.10698324,0.4578,823.4
4.07818,14.1693,13.9653,90,90,90,1,"Cs","Sm","S","CsS","1S",FALSE,74.7327,6.7667,29.3508,FALSE,1.74,0.958,0.6,1.84,4.206,4.206,4.263,3.997,4.263,4.187,3.7959,3.344,3.7959,3.454,3.454,3.56876,95.95,115.6,,0.1,0.4581,807
4.03598,14.0473,13.9293,90,90,90,1,"Cs","Gd","S","CsS","1S",FALSE,73.3042,6.6486,28.6434,FALSE,1.74,0.938,0.6,1.84,4.1867,4.1867,4.224,4.006,4.224,4.16548,3.7864,3.323,3.7864,3.429,3.429,3.55076,96.24,116.11,,0.094413408,0.4577,789.7
4.0902,13.8293,14.2345,90,90,90,1,"K","Ho","Se","KSe","1Se",FALSE,68.4119,7.6233,30.8837,FALSE,1.51,0.901,0.6,1.98,4.19,4.19,4.14,3.949,4.14,4.1218,3.886,3.186,3.886,3.299,3.299,3.5112,94.23,106.97,,0.086246418,0.4602,805.2
4.0996116,13.88295,14.26065,90,90,90,1,"K","Dy","Se","KSe","1Se",TRUE,68.815,7.5857,31.2041,TRUE,1.51,0.912,0.6,1.98,4.20636,4.20636,4.15431,3.94439,4.15431,4.133146,3.89143,3.18926,3.89143,3.30538,3.30538,3.516576,94.1409,106.51,,0.089398281,0.4599,811.6
4.11142,13.93209,14.29457,90,90,90,1,"K","Tb","Se","KSe","1Se",TRUE,69.2923,7.7164,32.2184,TRUE,1.51,0.923,0.6,1.98,4.21651,4.21651,4.17166,3.9371,4.17166,4.142688,3.89915,3.19367,3.89915,3.31335,3.31335,3.523734,94.067,106.081,,0.092550143,0.4596,818.8
4.1300512,13.99254,14.35265,90,90,90,1,"K","Gd","Se","KSe","1Se",TRUE,70.0714,7.6748,32.0407,TRUE,1.51,0.938,0.6,1.98,4.23492,4.23492,4.19313,3.93255,4.19313,4.15773,3.91255,3.2055,3.91255,3.3245,3.3245,3.53592,94.0727,105.656,,0.096848138,0.4595,829.4
