Material.ID,Formula,DOI,Crystal.System,Piezoelectric.Modulus,a,b,c,alpha,beta,gamma,Space.Group.Number,Space.Group.Symbol,CDM
mp-505558,Dy3CuGeSe7,10.1038/sdata.2015.53,Hexagonal,1.756611258,10.33287367,10.33287367,6.107759,90,90,119.9999979,173,P6_3,0.9635
mp-23485,Ag2HgI4,10.1038/sdata.2015.53,Tetragonal,0.166158448,7.8977488,7.8977488,7.8977488,131.9897449,131.9897449,70.24522422,82,I-4,0.8307
mp-6800,KLiSO4,10.1038/sdata.2015.53,Trigonal,0.319608093,5.2138907,5.2138907,8.8127,90,90,120.0000089,159,P31c,0.9624
mp-16917,RbV3(SeO6)2,10.1038/sdata.2015.53,Hexagonal,0.107124124,7.16851243,7.16851243,12.095226,90,90,120.000004,173,P6_3,0.9603
mp-27336,CsCuBr3,10.1038/sdata.2015.53,Orthorhombic,0.225937258,7.46993065,7.46993065,12.73041553,90,90,117.9697667,20,C222_1,0.9602
mp-31235,BaNaBi,10.1038/sdata.2015.53,Hexagonal,0.126123102,8.69672842,8.69672842,5.16072533,90,90,119.9999957,189,P-62m,0.9588
mp-30126,Ba(BS2)2,10.1038/sdata.2015.53,Monoclinic,0.349414068,6.06467584,6.76315033,8.61435126,66.88665782,82.23702381,69.87338015,9,Cc,0.6428
mp-558807,ZnAgPS4,10.1038/sdata.2015.53,Orthorhombic,0.200688084,6.180351,7.664909,12.730579,90,90,90,33,Pna2_1,0.9545
mp-555509,Ho3CuGeS7,10.1038/sdata.2015.53,Hexagonal,1.836006874,9.77150245,9.77150245,5.84474572,90,90,119.9999962,173,P6_3,0.9493
mp-12364,BaCu2SnSe4,10.1038/sdata.2015.53,Orthorhombic,0.605744055,6.65600503,6.65600503,11.213632,90,90,118.1592688,40,Ama2,0.9476
mp-18303,Nd3CuSnSe7,10.1038/sdata.2015.53,Hexagonal,1.663594098,10.59525425,10.59525425,6.34624082,90,90,119.9999976,173,P6_3,0.9476
mp-6675,Na2Zn(SiO3)2,10.1038/sdata.2015.53,Orthorhombic,1.207139947,5.11832068,5.11832064,11.21917329,102.588332,102.588335,92.55319757,43,Fdd2,0.9474
mp-1019893,La3Si6N11,10.1038/sdata.2015.53,Tetragonal,1.664841371,10.1922225,10.1922225,4.84993614,90,90,90,100,P4bm,0.9466
mp-19140,K3MnO4,10.1038/sdata.2015.53,Tetragonal,2.165048202,6.49865786,10.83614357,9.49372204,67.4691507,89.95728003,107.3793928,121,I-42m,0.7785
mp-28369,GeH3Cl,10.1038/sdata.2015.53,Orthorhombic,0.219389479,4.58631738,4.58631886,8.35736286,90,90,104.8259431,36,Cmc2_1,0.9434
mp-553278,Nd4Se3O4,10.1038/sdata.2015.53,Orthorhombic,1.12533,4.01690519,6.78274544,8.46630651,89.99987881,90,107.2242367,38,Amm2,0.9426
mp-15573,Tl3AsO4,10.1038/sdata.2015.53,Hexagonal,1.050721201,8.67649018,8.67720622,5.22018182,90,90,120.0000074,173,P6_3,0.9422
mp-570957,CsSiTe3,10.1038/sdata.2015.53,Monoclinic,0.187142052,8.2851419,8.2851419,13.56096589,84.53407253,84.53407253,117.8988932,9,Cc,0.8845
